variable_name,wind_speed,wind_speed,roughness_length
2001-04-18,5.82,7.9,0.15
2001-04-19,4.86,6.87,0.15
2001-04-20,3.66,5.07,0.15
2001-04-21,4.01,5.8,0.15
2001-04-22,3.04,4.37,0.15
2001-04-23,5.06,6.8,0.15
2001-04-24,4.59,6.27,0.15
2001-04-25,3.52,5.39,0.15
2001-04-26,2.78,3.92,0.15
2001-04-27,5.25,7.52,0.15
2001-04-28,5.62,7.85,0.15
2001-04-29,4.81,7.19,0.15
2001-04-30,4.13,5.91,0.15
2001-05-01,3.41,4.84,0.15
2001-05-02,3.57,4.92,0.15
2001-05-03,5.08,7.06,0.15
2001-05-04,4.13,5.98,0.15
2001-05-05,2.8,4.12,0.15
2001-05-06,3.34,4.77,0.15
2001-05-07,1.72,2.19,0.15
2001-05-08,2.09,2.93,0.15
2001-05-09,4.93,7.19,0.15
2001-05-10,3.25,4.89,0.15
2001-05-11,2.78,4.07,0.15
2001-05-12,3.4,5.12,0.15
2001-05-13,5.23,7.65,0.15
2001-05-14,1.91,2.77,0.15
2001-05-15,2.91,4.18,0.15
2001-05-16,4.75,6.7,0.15
2001-05-17,6.55,9.19,0.15
2001-05-18,4.8,6.97,0.15
2001-05-19,3.44,5.12,0.15
2001-05-20,2.5,3.71,0.15
2001-05-21,2.78,4.2,0.15
2001-05-22,3.02,4.16,0.15
2001-05-23,1.88,2.64,0.15
2001-05-24,2.91,4.34,0.15
2001-05-25,4.21,6.2,0.15
2001-05-26,3.66,5.1,0.15
2001-05-27,5.09,7.27,0.15
2001-05-28,8.16,11.06,0.15
2001-05-29,5.67,7.98,0.15
2001-05-30,5.59,7.89,0.15
2001-05-31,5.71,7.83,0.15
2001-06-01,7.29,9.61,0.15
2001-06-02,6.82,9.12,0.15
2001-06-03,3.11,4.45,0.15
2001-06-04,2.12,2.97,0.15
2001-06-05,3.3,4.39,0.15
2001-06-06,6.06,8.63,0.15
2001-06-07,4.91,7.11,0.15
2001-06-08,4.27,6.12,0.15
2001-06-09,5.09,7.28,0.15
2001-06-10,3.8,5.25,0.15
2001-06-11,2.48,3.56,0.15
2001-06-12,2.05,3.04,0.15
2001-06-13,3.48,5.02,0.15
2001-06-14,6.48,8.77,0.15
2001-06-15,4.23,6.05,0.15
2001-06-16,4.94,6.63,0.15
2001-06-17,3.5,4.79,0.15
2001-06-18,5.1,7.09,0.15
2001-06-19,8.19,10.88,0.15
2001-06-20,4.45,6.28,0.15
2001-06-21,1.96,2.97,0.15
2001-06-22,3.68,5.33,0.15
2001-06-23,3.84,5.55,0.15
2001-06-24,4.2,6.16,0.15
2001-06-25,2.26,3.23,0.15
2001-06-26,3.57,5.09,0.15
2001-06-27,5.66,7.62,0.15
2001-06-28,4.2,5.66,0.15
2001-06-29,7.52,10.25,0.15
2001-06-30,6.62,8.98,0.15
2001-07-01,3.95,5.41,0.15
2001-07-02,3.08,4.17,0.15
2001-07-03,3.05,4.38,0.15
2001-07-04,7.12,9.38,0.15
2001-07-05,5.28,6.88,0.15
2001-07-06,4.59,5.9,0.15
2001-07-07,5.67,7.38,0.15
2001-07-08,3.24,4.65,0.15
2001-07-09,4.12,5.66,0.15
2001-07-10,9.4,12.6,0.15
2001-07-11,9.41,12.6,0.15
2001-07-12,5.94,8.45,0.15
2001-07-13,3.19,4.47,0.15
2001-07-14,4.32,6.23,0.15
2001-07-15,2.67,3.65,0.15
2001-07-16,5.03,6.7,0.15
2001-07-17,10.06,13.4,0.15
2001-07-18,7.69,10.27,0.15
2001-07-19,4.63,6.3,0.15
2001-07-20,5.32,7.44,0.15
2001-07-21,5.83,8.12,0.15
2001-07-22,4.4,6.32,0.15
2001-07-23,5.31,7.47,0.15
2001-07-24,2.86,4.04,0.15
2001-07-25,2.5,3.77,0.15
2001-07-26,2.71,3.94,0.15
2001-07-27,1.51,1.94,0.15
2001-07-28,3.15,4.74,0.15
2001-07-29,4.86,6.93,0.15
2001-07-30,4.72,6.6,0.15
2001-07-31,3.24,4.45,0.15
2001-08-01,2.54,3.41,0.15
2001-08-02,3.16,4.74,0.15
2001-08-03,3.95,5.92,0.15
2001-08-04,3.5,5.39,0.15
2001-08-05,2.46,3.59,0.15
2001-08-06,5.84,8.37,0.15
2001-08-07,4.09,6.0,0.15
2001-08-08,5.45,7.59,0.15
2001-08-09,4.64,6.53,0.15
2001-08-10,4.42,6.04,0.15
2001-08-11,6.28,8.69,0.15
2001-08-12,6.64,9.17,0.15
2001-08-13,6.88,9.35,0.15
2001-08-14,4.66,6.22,0.15
2001-08-15,3.05,4.58,0.15
2001-08-16,3.33,4.88,0.15
2001-08-17,1.63,2.55,0.15
2001-08-18,4.66,6.56,0.15
2001-08-19,4.58,6.23,0.15
2001-08-20,6.21,8.8,0.15
2001-08-21,9.09,12.79,0.15
2001-08-22,3.83,5.94,0.15
2001-08-23,3.08,4.5,0.15
2001-08-24,2.03,2.9,0.15
2001-08-25,1.59,2.56,0.15
2001-08-26,3.03,4.66,0.15
2001-08-27,1.83,2.62,0.15
2001-08-28,2.31,3.4,0.15
2001-08-29,3.12,4.73,0.15
2001-08-30,5.37,7.76,0.15
2001-08-31,4.69,6.81,0.15
2001-09-01,5.73,7.92,0.15
2001-09-02,4.63,6.72,0.15
2001-09-03,5.12,7.51,0.15
2001-09-04,4.88,6.93,0.15
2001-09-05,5.64,8.13,0.15
2001-09-06,4.52,6.67,0.15
2001-09-07,7.66,10.45,0.15
2001-09-08,6.05,8.44,0.15
2001-09-09,4.48,6.88,0.15
2001-09-10,3.19,5.11,0.15
2001-09-11,3.52,5.41,0.15
2001-09-12,7.93,10.88,0.15
2001-09-13,9.16,12.57,0.15
2001-09-14,6.09,8.42,0.15
2001-09-15,5.96,8.98,0.15
2001-09-16,5.18,7.55,0.15
2001-09-17,3.14,4.73,0.15
2001-09-18,2.79,3.77,0.15
2001-09-19,2.72,4.27,0.15
2001-09-20,2.15,3.2,0.15
2001-09-21,0.88,1.19,0.15
2001-09-22,1.74,2.82,0.15
2001-09-23,2.98,4.93,0.15
2001-09-24,3.0,4.81,0.15
2001-09-25,3.39,5.66,0.15
2001-09-26,4.68,7.02,0.15
2001-09-27,5.26,7.81,0.15
2001-09-28,7.8,11.09,0.15
2001-09-29,7.1,10.16,0.15
2001-09-30,9.53,12.9,0.15
2001-10-01,11.75,16.03,0.15
2001-10-02,8.22,11.38,0.15
2001-10-03,6.04,8.69,0.15
2001-10-04,7.44,10.44,0.15
2001-10-05,6.14,9.01,0.15
2001-10-06,9.16,12.39,0.15
2001-10-07,5.93,8.14,0.15
2001-10-08,4.74,7.19,0.15
2001-10-09,5.41,7.88,0.15
2001-10-10,4.78,6.98,0.15
2001-10-11,7.27,10.09,0.15
2001-10-12,4.18,6.77,0.15
2001-10-13,1.38,2.05,0.15
2001-10-14,3.85,5.53,0.15
2001-10-15,7.57,10.49,0.15
2001-10-16,8.95,12.55,0.15
2001-10-17,9.95,13.52,0.15
2001-10-18,7.7,10.64,0.15
2001-10-19,7.12,10.51,0.15
2001-10-20,2.42,4.3,0.15
2001-10-21,1.52,2.2,0.15
2001-10-22,4.37,6.59,0.15
2001-10-23,4.78,7.29,0.15
2001-10-24,5.52,8.15,0.15
2001-10-25,8.34,11.77,0.15
2001-10-26,6.38,9.29,0.15
2001-10-27,3.19,4.95,0.15
2001-10-28,2.04,3.27,0.15
2001-10-29,6.52,9.48,0.15
2001-10-30,7.61,10.69,0.15
2001-10-31,4.65,7.49,0.15
2001-11-01,4.82,7.41,0.15
2001-11-02,4.97,7.64,0.15
2001-11-03,3.31,5.75,0.15
2001-11-04,4.91,7.84,0.15
2001-11-05,6.59,9.55,0.15
2001-11-06,7.19,10.33,0.15
2001-11-07,8.7,12.09,0.15
2001-11-08,8.6,11.79,0.15
2001-11-09,3.48,5.65,0.15
2001-11-10,3.86,6.98,0.15
2001-11-11,4.45,7.14,0.15
2001-11-12,5.64,8.06,0.15
2001-11-13,4.28,5.99,0.15
2001-11-14,1.91,3.32,0.15
2001-11-15,1.12,1.84,0.15
2001-11-16,2.36,3.7,0.15
2001-11-17,2.16,3.54,0.15
2001-11-18,1.51,2.23,0.15
2001-11-19,2.51,4.16,0.15
2001-11-20,5.54,8.21,0.15
2001-11-21,8.05,11.46,0.15
2001-11-22,3.12,5.16,0.15
2001-11-23,3.96,6.73,0.15
2001-11-24,5.66,8.57,0.15
2001-11-25,5.79,9.13,0.15
2001-11-26,4.42,7.03,0.15
2001-11-27,7.3,10.43,0.15
2001-11-28,6.11,9.36,0.15
2001-11-29,4.8,7.33,0.15
2001-11-30,6.89,10.01,0.15
2001-12-01,4.63,7.43,0.15
2001-12-02,6.09,8.94,0.15
2001-12-03,10.52,14.55,0.15
2001-12-04,6.09,9.12,0.15
2001-12-05,6.89,9.7,0.15
2001-12-06,5.91,8.81,0.15
2001-12-07,5.42,8.41,0.15
2001-12-08,4.51,7.39,0.15
2001-12-09,5.29,7.27,0.15
2001-12-10,5.76,7.98,0.15
2001-12-11,4.45,7.17,0.15
2001-12-12,4.3,6.63,0.15
2001-12-13,5.42,7.84,0.15
2001-12-14,4.09,6.77,0.15
2001-12-15,3.32,6.22,0.15
2001-12-16,3.95,7.45,0.15
2001-12-17,2.95,5.18,0.15
2001-12-18,2.84,4.72,0.15
2001-12-19,3.24,5.3,0.15
2001-12-20,3.06,5.02,0.15
2001-12-21,5.86,8.98,0.15
2001-12-22,3.26,5.72,0.15
2001-12-23,4.23,6.55,0.15
2001-12-24,7.76,11.27,0.15
2001-12-25,6.25,8.82,0.15
2001-12-26,4.5,7.39,0.15
2001-12-27,9.04,12.72,0.15
2001-12-28,4.17,7.0,0.15
2001-12-29,4.81,6.93,0.15
2001-12-30,4.99,6.8,0.15
2001-12-31,2.45,3.97,0.15
2002-01-01,5.69,9.12,0.15
2002-01-02,7.55,10.65,0.15
2002-01-03,8.16,11.2,0.15
2002-01-04,7.23,10.3,0.15
2002-01-05,2.95,4.81,0.15
2002-01-06,5.22,7.64,0.15
2002-01-07,3.87,6.66,0.15
2002-01-08,1.66,2.77,0.15
2002-01-09,2.52,4.48,0.15
2002-01-10,3.52,6.12,0.15
2002-01-11,5.64,8.67,0.15
2002-01-12,9.21,12.75,0.15
2002-01-13,5.48,8.28,0.15
2002-01-14,6.69,10.01,0.15
2002-01-15,5.02,8.09,0.15
2002-01-16,5.96,8.8,0.15
2002-01-17,4.4,7.88,0.15
2002-01-18,9.52,13.4,0.15
2002-01-19,8.09,11.34,0.15
2002-01-20,8.91,12.52,0.15
2002-01-21,8.76,12.32,0.15
2002-01-22,7.38,10.64,0.15
2002-01-23,5.83,8.61,0.15
2002-01-24,5.23,7.37,0.15
2002-01-25,8.48,11.81,0.15
2002-01-26,9.73,13.82,0.15
2002-01-27,9.23,13.0,0.15
2002-01-28,12.35,16.89,0.15
2002-01-29,8.32,12.05,0.15
2002-01-30,6.42,9.1,0.15
2002-01-31,8.73,12.17,0.15
2002-02-01,11.87,16.11,0.15
2002-02-02,9.32,13.09,0.15
2002-02-03,4.74,6.95,0.15
2002-02-04,8.22,11.43,0.15
2002-02-05,7.07,10.0,0.15
2002-02-06,5.41,8.11,0.15
2002-02-07,7.95,11.11,0.15
2002-02-08,9.25,12.97,0.15
2002-02-09,10.82,14.73,0.15
2002-02-10,9.51,13.17,0.15
2002-02-11,10.05,13.96,0.15
2002-02-12,7.19,10.24,0.15
2002-02-13,5.18,7.73,0.15
2002-02-14,2.53,4.0,0.15
2002-02-15,2.56,4.47,0.15
2002-02-16,4.07,6.41,0.15
2002-02-17,5.19,7.62,0.15
2002-02-18,7.52,10.88,0.15
2002-02-19,10.78,14.57,0.15
2002-02-20,10.24,14.17,0.15
2002-02-21,8.21,11.51,0.15
2002-02-22,12.16,16.39,0.15
2002-02-23,9.87,13.6,0.15
2002-02-24,6.62,9.54,0.15
2002-02-25,7.69,10.93,0.15
2002-02-26,10.88,14.56,0.15
2002-02-27,10.31,14.09,0.15
2002-02-28,6.74,9.09,0.15
2002-03-01,6.85,9.48,0.15
2002-03-02,3.93,6.59,0.15
2002-03-03,3.6,6.19,0.15
2002-03-04,4.23,6.87,0.15
2002-03-05,7.1,10.3,0.15
2002-03-06,11.09,14.96,0.15
2002-03-07,6.44,9.27,0.15
2002-03-08,6.91,9.64,0.15
2002-03-09,8.21,11.3,0.15
2002-03-10,10.52,14.43,0.15
2002-03-11,4.91,7.57,0.15
2002-03-12,4.61,6.39,0.15
2002-03-13,7.62,10.04,0.15
2002-03-14,8.02,10.81,0.15
2002-03-15,4.85,7.15,0.15
2002-03-16,5.02,7.42,0.15
2002-03-17,8.02,10.69,0.15
2002-03-18,3.37,5.06,0.15
2002-03-19,3.84,6.14,0.15
2002-03-20,5.27,7.81,0.15
2002-03-21,5.18,7.67,0.15
2002-03-22,4.78,6.87,0.15
2002-03-23,7.48,10.05,0.15
2002-03-24,4.27,6.24,0.15
2002-03-25,3.66,5.53,0.15
2002-03-26,4.34,6.34,0.15
2002-03-27,6.45,8.98,0.15
2002-03-28,4.11,5.87,0.15
2002-03-29,2.8,3.95,0.15
2002-03-30,5.84,8.13,0.15
2002-03-31,6.78,9.33,0.15
2002-04-01,4.86,7.15,0.15
2002-04-02,7.68,10.5,0.15
2002-04-03,4.25,6.22,0.15
2002-04-04,2.73,3.92,0.15
2002-04-05,4.65,6.58,0.15
2002-04-06,6.88,9.34,0.15
2002-04-07,4.12,6.12,0.15
2002-04-08,2.63,3.74,0.15
2002-04-09,2.85,4.31,0.15
2002-04-10,2.85,4.35,0.15
2002-04-11,3.01,4.12,0.15
2002-04-12,4.98,7.01,0.15
2002-04-13,2.46,3.7,0.15
2002-04-14,4.11,5.62,0.15
2002-04-15,5.41,7.54,0.15
2002-04-16,7.4,10.15,0.15
2002-04-17,3.59,5.3,0.15
2002-04-18,4.04,5.88,0.15
2002-04-19,6.38,8.76,0.15
2002-04-20,7.45,10.02,0.15
2002-04-21,8.6,11.73,0.15
2002-04-22,6.91,9.62,0.15
2002-04-23,4.93,7.2,0.15
2002-04-24,7.05,9.72,0.15
2002-04-25,6.23,8.8,0.15
2002-04-26,9.75,13.14,0.15
2002-04-27,7.62,10.38,0.15
2002-04-28,11.38,15.07,0.15
2002-04-29,8.76,11.62,0.15
2002-04-30,8.09,10.9,0.15
2002-05-01,5.72,7.97,0.15
2002-05-02,4.73,6.85,0.15
2002-05-03,2.05,2.93,0.15
2002-05-04,2.9,4.1,0.15
2002-05-05,2.16,3.58,0.15
2002-05-06,4.13,6.09,0.15
2002-05-07,3.32,4.73,0.15
2002-05-08,2.98,4.38,0.15
2002-05-09,1.77,2.59,0.15
2002-05-10,3.29,4.62,0.15
2002-05-11,3.3,4.84,0.15
2002-05-12,6.15,8.28,0.15
2002-05-13,7.17,9.78,0.15
2002-05-14,8.27,11.2,0.15
2002-05-15,6.62,8.99,0.15
2002-05-16,5.71,7.92,0.15
2002-05-17,3.02,4.2,0.15
2002-05-18,4.42,6.15,0.15
2002-05-19,6.57,9.02,0.15
2002-05-20,8.98,12.26,0.15
2002-05-21,8.99,12.19,0.15
2002-05-22,6.45,8.62,0.15
2002-05-23,8.64,11.34,0.15
2002-05-24,11.87,15.71,0.15
2002-05-25,7.48,9.88,0.15
2002-05-26,3.72,5.05,0.15
2002-05-27,4.55,6.23,0.15
2002-05-28,6.53,8.52,0.15
2002-05-29,7.48,10.12,0.15
2002-05-30,6.69,9.19,0.15
2002-05-31,4.38,6.36,0.15
2002-06-01,5.23,7.34,0.15
2002-06-02,3.7,5.25,0.15
2002-06-03,5.96,8.22,0.15
2002-06-04,6.28,8.91,0.15
2002-06-05,3.5,5.04,0.15
2002-06-06,4.62,6.52,0.15
2002-06-07,3.91,5.34,0.15
2002-06-08,4.3,6.01,0.15
2002-06-09,8.66,11.54,0.15
2002-06-10,9.38,12.45,0.15
2002-06-11,5.41,7.59,0.15
2002-06-12,6.37,8.81,0.15
2002-06-13,4.88,6.8,0.15
2002-06-14,6.58,9.05,0.15
2002-06-15,6.6,8.9,0.15
2002-06-16,7.94,10.66,0.15
2002-06-17,9.38,12.46,0.15
2002-06-18,7.31,9.87,0.15
2002-06-19,4.35,5.98,0.15
2002-06-20,5.77,7.84,0.15
2002-06-21,6.41,8.6,0.15
2002-06-22,6.49,8.73,0.15
2002-06-23,5.29,7.54,0.15
2002-06-24,5.77,7.92,0.15
2002-06-25,4.66,6.2,0.15
2002-06-26,6.55,8.98,0.15
2002-06-27,5.7,8.0,0.15
2002-06-28,4.61,6.39,0.15
2002-06-29,5.23,7.3,0.15
2002-06-30,6.89,9.34,0.15
2002-07-01,7.18,9.84,0.15
2002-07-02,4.84,6.65,0.15
2002-07-03,5.96,8.4,0.15
2002-07-04,3.98,5.94,0.15
2002-07-05,3.63,4.83,0.15
2002-07-06,4.16,5.96,0.15
2002-07-07,4.78,6.58,0.15
2002-07-08,5.79,7.81,0.15
2002-07-09,3.34,4.87,0.15
2002-07-10,4.26,6.25,0.15
2002-07-11,2.62,3.83,0.15
2002-07-12,3.17,4.19,0.15
2002-07-13,2.77,4.11,0.15
2002-07-14,3.13,4.61,0.15
2002-07-15,3.67,5.31,0.15
2002-07-16,2.85,3.95,0.15
2002-07-17,2.2,3.01,0.15
2002-07-18,2.27,3.25,0.15
2002-07-19,3.39,4.84,0.15
2002-07-20,5.64,7.95,0.15
2002-07-21,3.84,5.43,0.15
2002-07-22,5.34,7.2,0.15
2002-07-23,6.48,8.82,0.15
2002-07-24,3.37,4.99,0.15
2002-07-25,5.5,7.3,0.15
2002-07-26,3.6,5.02,0.15
2002-07-27,6.3,8.34,0.15
2002-07-28,4.84,6.35,0.15
2002-07-29,4.05,5.39,0.15
2002-07-30,6.36,8.49,0.15
2002-07-31,6.55,8.63,0.15
2002-08-01,2.55,3.81,0.15
2002-08-02,3.78,4.99,0.15
2002-08-03,2.42,3.51,0.15
2002-08-04,2.49,3.61,0.15
2002-08-05,1.43,1.99,0.15
2002-08-06,3.48,5.04,0.15
2002-08-07,4.55,6.27,0.15
2002-08-08,5.69,7.73,0.15
2002-08-09,5.76,8.17,0.15
2002-08-10,4.0,5.83,0.15
2002-08-11,7.62,10.2,0.15
2002-08-12,5.38,7.57,0.15
2002-08-13,4.95,6.96,0.15
2002-08-14,8.09,10.89,0.15
2002-08-15,4.8,6.7,0.15
2002-08-16,4.02,5.54,0.15
2002-08-17,8.38,11.55,0.15
2002-08-18,2.62,4.09,0.15
2002-08-19,2.17,3.31,0.15
2002-08-20,2.12,2.97,0.15
2002-08-21,1.49,2.15,0.15
2002-08-22,2.23,3.33,0.15
2002-08-23,3.47,4.97,0.15
2002-08-24,4.28,6.38,0.15
2002-08-25,3.24,4.98,0.15
2002-08-26,2.46,3.79,0.15
2002-08-27,3.17,4.59,0.15
2002-08-28,4.52,6.62,0.15
2002-08-29,4.16,5.88,0.15
2002-08-30,7.34,10.25,0.15
2002-08-31,3.56,5.39,0.15
2002-09-01,3.7,5.58,0.15
2002-09-02,3.05,4.88,0.15
2002-09-03,2.02,3.27,0.15
2002-09-04,3.19,5.15,0.15
2002-09-05,5.55,8.02,0.15
2002-09-06,6.33,8.86,0.15
2002-09-07,7.06,9.74,0.15
2002-09-08,3.82,5.52,0.15
2002-09-09,3.59,5.2,0.15
2002-09-10,6.49,9.18,0.15
2002-09-11,7.68,10.54,0.15
2002-09-12,5.18,7.84,0.15
2002-09-13,5.13,7.92,0.15
2002-09-14,3.38,5.3,0.15
2002-09-15,2.1,3.05,0.15
2002-09-16,2.91,4.4,0.15
2002-09-17,2.67,4.3,0.15
2002-09-18,3.1,4.99,0.15
2002-09-19,3.05,4.83,0.15
2002-09-20,2.82,4.49,0.15
2002-09-21,2.56,3.93,0.15
2002-09-22,3.39,5.25,0.15
2002-09-23,3.3,5.4,0.15
2002-09-24,2.55,3.71,0.15
2002-09-25,3.73,5.52,0.15
2002-09-26,3.59,5.64,0.15
2002-09-27,1.78,2.94,0.15
2002-09-28,4.8,7.45,0.15
2002-09-29,6.56,9.16,0.15
2002-09-30,6.16,8.73,0.15
2002-10-01,5.69,8.37,0.15
2002-10-02,6.45,9.59,0.15
2002-10-03,4.29,7.11,0.15
2002-10-04,4.89,7.67,0.15
2002-10-05,3.3,5.33,0.15
2002-10-06,2.51,4.14,0.15
2002-10-07,4.63,6.98,0.15
2002-10-08,5.23,7.41,0.15
2002-10-09,6.89,9.63,0.15
2002-10-10,3.18,5.3,0.15
2002-10-11,4.43,7.07,0.15
2002-10-12,3.56,5.98,0.15
2002-10-13,2.85,4.38,0.15
2002-10-14,2.8,4.52,0.15
2002-10-15,6.02,8.38,0.15
2002-10-16,4.25,6.06,0.15
2002-10-17,3.45,5.49,0.15
2002-10-18,3.26,4.61,0.15
2002-10-19,2.09,3.41,0.15
2002-10-20,8.96,12.0,0.15
2002-10-21,3.99,7.11,0.15
2002-10-22,7.16,9.65,0.15
2002-10-23,4.93,7.42,0.15
2002-10-24,4.98,8.3,0.15
2002-10-25,10.84,14.88,0.15
2002-10-26,8.63,12.19,0.15
2002-10-27,10.22,14.06,0.15
2002-10-28,3.8,6.6,0.15
2002-10-29,4.8,6.92,0.15
2002-10-30,4.03,5.77,0.15
2002-10-31,4.47,6.9,0.15
2002-11-01,5.07,8.07,0.15
2002-11-02,9.02,12.87,0.15
2002-11-03,8.58,12.33,0.15
2002-11-04,5.21,8.12,0.15
2002-11-05,4.73,6.98,0.15
2002-11-06,7.22,10.66,0.15
2002-11-07,6.36,9.29,0.15
2002-11-08,7.27,10.37,0.15
2002-11-09,3.04,5.23,0.15
2002-11-10,6.84,9.91,0.15
2002-11-11,7.42,10.55,0.15
2002-11-12,5.81,8.4,0.15
2002-11-13,4.4,6.92,0.15
2002-11-14,3.03,4.59,0.15
2002-11-15,7.67,10.41,0.15
2002-11-16,4.82,7.54,0.15
2002-11-17,2.91,4.54,0.15
2002-11-18,2.62,4.66,0.15
2002-11-19,4.88,7.81,0.15
2002-11-20,7.35,10.56,0.15
2002-11-21,5.72,8.59,0.15
2002-11-22,5.82,8.59,0.15
2002-11-23,7.38,10.59,0.15
2002-11-24,5.93,8.95,0.15
2002-11-25,5.09,7.79,0.15
2002-11-26,8.62,12.12,0.15
2002-11-27,8.52,12.08,0.15
2002-11-28,5.24,8.15,0.15
2002-11-29,3.56,6.79,0.15
2002-11-30,5.54,8.27,0.15
2002-12-01,14.02,18.76,0.15
2002-12-02,10.11,14.05,0.15
2002-12-03,4.03,6.7,0.15
2002-12-04,5.12,8.37,0.15
2002-12-05,2.08,3.47,0.15
2002-12-06,2.55,3.99,0.15
2002-12-07,3.39,6.3,0.15
2002-12-08,4.05,7.17,0.15
2002-12-09,5.41,8.62,0.15
2002-12-10,6.26,9.7,0.15
2002-12-11,5.48,8.27,0.15
2002-12-12,3.94,6.48,0.15
2002-12-13,2.9,5.5,0.15
2002-12-14,4.84,7.52,0.15
2002-12-15,4.3,6.12,0.15
2002-12-16,3.74,5.23,0.15
2002-12-17,4.79,6.96,0.15
2002-12-18,5.09,8.16,0.15
2002-12-19,5.41,8.41,0.15
2002-12-20,3.37,5.55,0.15
2002-12-21,5.82,9.07,0.15
2002-12-22,4.81,7.35,0.15
2002-12-23,9.27,12.99,0.15
2002-12-24,6.07,8.77,0.15
2002-12-25,4.24,6.8,0.15
2002-12-26,4.69,7.12,0.15
2002-12-27,4.57,6.68,0.15
2002-12-28,4.27,6.8,0.15
2002-12-29,4.54,7.57,0.15
2002-12-30,2.2,4.09,0.15
2002-12-31,4.88,7.12,0.15
2003-01-01,4.71,7.35,0.15
2003-01-02,5.09,7.42,0.15
2003-01-03,4.55,6.91,0.15
2003-01-04,2.68,4.94,0.15
